customer_id,churn_flag,churn_reason,exit_month
15634602,1,Digital experience issues,2023-07
15619304,1,Better rates elsewhere,2024-04
15574012,1,Poor customer service,2024-01
15656148,1,Poor customer service,2023-01
15737452,1,Better rates elsewhere,2024-04
15699309,1,Moved to another country,2023-07
15589475,1,Better rates elsewhere,2023-10
15794171,1,Digital experience issues,2023-07
15738148,1,Too many fees,2024-04
15755196,1,Better rates elsewhere,2023-10
15602280,1,Better rates elsewhere,2023-04
15771573,1,Better rates elsewhere,2023-10
15702298,1,Better rates elsewhere,2024-04
15569590,1,Better rates elsewhere,2024-01
15623944,1,Better rates elsewhere,2024-04
15703793,1,Better rates elsewhere,2023-01
15663706,1,Better rates elsewhere,2023-07
15762418,1,Poor customer service,2024-04
15622897,1,Poor customer service,2024-01
15757535,1,Moved to another country,2023-01
15804919,1,Better rates elsewhere,2024-01
15613854,1,Too many fees,2024-01
15744689,1,Moved to another country,2023-04
15609618,1,Too many fees,2024-01
15661670,1,Better rates elsewhere,2023-07
15627360,1,Poor customer service,2023-07
15671137,1,Too many fees,2024-01
15782688,1,Poor customer service,2023-07
15594408,1,Digital experience issues,2023-04
15640905,1,Better rates elsewhere,2023-04
15713483,1,Poor customer service,2024-04
15612350,1,Better rates elsewhere,2023-01
15759618,1,Too many fees,2023-07
15679145,1,Too many fees,2023-07
15658929,1,Peer recommendation,2024-04
15724623,1,Better rates elsewhere,2023-01
15574692,1,Product not suitable,2023-01
15651022,1,Peer recommendation,2023-10
15625426,1,Poor customer service,2023-10
15719377,1,Poor customer service,2024-04
15726931,1,Poor customer service,2023-01
15600974,1,Poor customer service,2024-01
15727868,1,Moved to another country,2023-10
15755262,1,Poor customer service,2023-10
15684181,1,Moved to another country,2023-07
15723488,1,Better rates elsewhere,2024-01
15659366,1,Product not suitable,2023-07
15774854,1,Better rates elsewhere,2023-07
15733247,1,Better rates elsewhere,2023-01
15568748,1,Better rates elsewhere,2023-01
15676895,1,Better rates elsewhere,2024-04
15637753,1,Better rates elsewhere,2023-10
15772896,1,Poor customer service,2023-01
15764866,1,Too many fees,2023-04
15794056,1,Product not suitable,2023-10
15596175,1,Too many fees,2023-07
15797219,1,Moved to another country,2023-01
15772423,1,Better rates elsewhere,2023-04
15717398,1,Moved to another country,2023-10
15619955,1,Poor customer service,2023-01
15694456,1,Poor customer service,2024-04
15782210,1,Better rates elsewhere,2024-01
15643024,1,Too many fees,2023-04
15590241,1,Moved to another country,2023-10
15684173,1,Moved to another country,2023-07
15594898,1,Moved to another country,2023-01
15773972,1,Digital experience issues,2023-01
15662736,1,Moved to another country,2023-10
15694408,1,Product not suitable,2023-07
15736008,1,Better rates elsewhere,2024-04
15728669,1,Moved to another country,2023-07
15697441,1,Peer recommendation,2023-01
15636624,1,Better rates elsewhere,2023-01
15807923,1,Peer recommendation,2023-07
15745844,1,Better rates elsewhere,2024-04
15661629,1,Poor customer service,2024-04
15696674,1,Peer recommendation,2023-07
15583456,1,Too many fees,2023-04
15629677,1,Peer recommendation,2023-10
15573456,1,Digital experience issues,2023-10
15684548,1,Better rates elsewhere,2024-01
15646372,1,Poor customer service,2023-10
15578045,1,Moved to another country,2024-01
15801559,1,Poor customer service,2023-10
15720559,1,Better rates elsewhere,2023-10
15810418,1,Too many fees,2023-10
15674551,1,Digital experience issues,2024-04
15806467,1,Poor customer service,2023-04
15597602,1,Better rates elsewhere,2024-04
15595039,1,Poor customer service,2023-07
15787470,1,Digital experience issues,2023-04
15694860,1,Better rates elsewhere,2024-04
15707362,1,Better rates elsewhere,2023-01
15773792,1,Peer recommendation,2023-04
15593782,1,Better rates elsewhere,2023-04
15683625,1,Poor customer service,2023-07
15591986,1,Moved to another country,2023-01
15676519,1,Moved to another country,2023-07
15613772,1,Moved to another country,2023-01
